Date,"Pran Number","CHO Name","CHO Reg No","CBO Reg No","Nodal Officer Id",account_opening_charges,IGST,CGST,SGST,POP,"POP IGST","POP CGST","POP SGST","Payment Gateway Charges Amount(in ₹)","Payment Gateway Charges Tax(in ₹)","Net Amount","CHO Name/Retail",total_contribution_amount,contribution_month,contribution_year,"Billing Type","Approval Status",Type,"Cra Transaction ID","Receipts No.","GST No","GST Invoice No","account opening","approval status","Total Approval Amount","Total Rejected Amount","Rejected Count","Registration Charges","Contribution Fees","Maximum Fees","Minimum Fees","Date of Transfer",State
02/05/2025,"	400071192636",Corp_1,1000000,941115,3,,0.0000000000,0.0000000000,0.0000000000,30.00,5.40,,,,,400.00,Corp_1,400.00,0,2025,B2B,Pending,KFINTECH,,,,,,P,0,0,0,,0.50%,,,,"Andhra Pradesh"
02/05/2025,"	400070560576",Corp_1,1000000,941115,3,,0.0000000000,0.0000000000,0.0000000000,80.00,14.40,,,,,16000.00,Corp_1,16000.00,0,2025,B2B,Pending,KFINTECH,,,,,,P,0,0,0,,0.50%,,,,"Andhra Pradesh"
02/05/2025,"	400070560576",Corp_1,1000000,941115,3,,0.0000000000,0.0000000000,0.0000000000,50.00,9.00,,,,,10000.00,Corp_1,10000.00,0,2025,B2B,Pending,KFINTECH,,,,,,P,0,0,0,,0.50%,,,,"Andhra Pradesh"
02/05/2025,"	400061100269",Corp_1,1000000,941115,3,,0.0000000000,0.0000000000,0.0000000000,40.00,7.20,,,,,8000.00,Corp_1,8000.00,0,2025,B2B,Pending,KFINTECH,,,,,,P,0,0,0,,0.50%,,,,"Andhra Pradesh"
02/05/2025,"	400080180256",Corp_1,1000000,941115,3,,0.0000000000,0.0000000000,0.0000000000,150.00,27.00,,,,,30000.00,Corp_1,30000.00,0,2025,B2B,Pending,KFINTECH,,,,,,P,0,0,0,,0.50%,,,,"Andhra Pradesh"
02/05/2025,"	400011172620",Corp_1,1000000,941115,3,,0.0000000000,0.0000000000,0.0000000000,75.00,13.50,,,,,15000.00,Corp_1,15000.00,0,2025,B2B,Pending,KFINTECH,,,,,,P,0,0,0,,0.50%,,,,"Andhra Pradesh"
29/04/2025,"	400071192636","Corp 7",7000000,941115,3,,0.0000000000,0.0000000000,0.0000000000,30.00,13.50,2.70,2.70,,,400.00,"Corp 7",400.00,0,2025,-,Approved,KFINTECH,CRA_TID_1745922611,,,,,A,47076.33,0,0,,0.50%,,,,Maharashtra
29/04/2025,"	400070560576","Corp 7",7000000,941115,3,,0.0000000000,0.0000000000,0.0000000000,32.00,13.50,2.88,2.88,,,16000.00,"Corp 7",16000.00,0,2025,-,Approved,KFINTECH,CRA_TID_1745922611,,,,,A,47076.33,0,0,,0.50%,,,,Maharashtra
29/04/2025,"	400070560576","Corp 7",7000000,941115,3,,0.0000000000,0.0000000000,0.0000000000,30.00,13.50,2.70,2.70,,,10000.00,"Corp 7",10000.00,0,2025,-,Approved,KFINTECH,CRA_TID_1745922611,,,,,A,47076.33,0,0,,0.50%,,,,Maharashtra
29/04/2025,"	400061100269","Corp 7",7000000,941115,3,,0.0000000000,0.0000000000,0.0000000000,30.00,13.50,2.70,2.70,,,8000.00,"Corp 7",8000.00,0,2025,-,Approved,KFINTECH,CRA_TID_1745922611,,,,,A,47076.33,0,0,,0.50%,,,,Maharashtra
29/04/2025,"	400080180256","Corp 7",7000000,941115,3,,0.0000000000,0.0000000000,0.0000000000,60.00,13.50,5.40,5.40,,,30000.53,"Corp 7",30000.53,0,2025,-,Approved,KFINTECH,CRA_TID_1745922611,,,,,A,47076.33,0,0,,0.50%,,,,Maharashtra
29/04/2025,"	400011172620","Corp 7",7000000,941115,3,,0.0000000000,0.0000000000,0.0000000000,30.00,13.50,2.70,2.70,,,15000.70,"Corp 7",15000.70,0,2025,-,Approved,KFINTECH,CRA_TID_1745922611,,,,,A,47076.33,0,0,,0.50%,,,,Maharashtra
25/04/2025,"	400070560576",Corp_1,1000000,941115,3,,0.0000000000,0.0000000000,0.0000000000,50.00,9.00,2.70,2.70,,,10000.00,Corp_1,10000.00,0,2025,B2B,Approved,KFINTECH,CRA_TID_1745568773,,BJKBHHJbh4564654,,,A,46970.13,0,0,,0.50%,,,,"Andhra Pradesh"
25/04/2025,"	400011172620",Corp_1,1000000,941115,3,,0.0000000000,0.0000000000,0.0000000000,75.00,13.50,2.70,2.70,,,15000.00,Corp_1,15000.00,0,2025,B2B,Approved,KFINTECH,CRA_TID_1745568773,,BJKBHHJbh4564654,,,A,46970.13,0,0,,0.50%,,,,"Andhra Pradesh"
25/04/2025,"	400080180256",Corp_1,1000000,941115,3,,0.0000000000,0.0000000000,0.0000000000,150.00,27.00,2.70,2.70,,,30000.00,Corp_1,30000.00,0,2025,B2B,Approved,KFINTECH,CRA_TID_1745568773,,BJKBHHJbh4564654,,,A,46970.13,0,0,,0.50%,,,,"Andhra Pradesh"
